scenario,farm_type,number_of_farms,burden_of_amr_at_farm_level_median,burden_of_amr_at_farm_level_5pctile,burden_of_amr_at_farm_level_95pctile,burden_of_amr_at_pop_level_median,burden_of_amr_at_pop_level_5pctile,burden_of_amr_at_pop_level_95pctile,amr_health_exp_amu,amr_health_exp_feed,amr_health_exp_prod,ahle_at_farm_level_median,ahle_at_farm_level_5pctile,ahle_at_farm_level_95pctile,ahle_at_pop_level_median,ahle_at_pop_level_5pctile,ahle_at_pop_level_95pctile,health_expenditure_at_farm_level,health_expenditure_at_pop_level,ahle_at_farm_level_median_withoutamr,burden_of_amr_at_pop_level_median_pctofahle,burden_of_amr_at_pop_level_5pctile_pctofahle,burden_of_amr_at_pop_level_95pctile_pctofahle,ahle_at_pop_level_median_withoutamr
Average,Breed,760,8548.68013903083,8993.583256750295,8308.253910772642,6496996.905663431,6835123.275130224,6314272.972187208,,,,4208686.294230067,4555438.378567252,3851860.3610761287,3198601583.614851,3462133167.7111115,2927413874.4178576,575000.0,437000000.0,4200137.614091036,0.0020311991774608416,0.0019742519839723747,0.002156945769563539,3192104586.7091875
Average,Nurse,483,42376.531629593155,42376.531629593155,42376.531629593155,20467864.777093492,20467864.777093492,20467864.777093492,,,,693423.4052223827,726209.5738397071,660206.6161807745,334923504.72241086,350759224.1645785,318879795.61531407,147043.7830779944,71022147.2266713,651046.8735927896,0.061112058390937765,0.05835303355412212,0.06418677212709092,314455639.9453174
Average,Fat,1116,0.0,0.0,0.0,0.0,0.0,0.0,,,,1076592.5643644766,1158450.4740427942,996180.4778912142,1201477301.830756,1292830729.0317583,1111737413.326595,49813.12196973957,55591444.11822936,1076592.5643644766,0.0,0.0,0.0,1201477301.830756
Average,Total,2359,,,,26964861.682756923,27302988.052223716,26782137.7492807,11908618.53420254,15164261.875464201,26964861.682756923,,,,4735002390.168017,5105723120.907448,4358031083.359767,,563613591.3449006,,0.005694793679248829,0.005347526179087266,0.006145467353719139,4708037528.48526
Worse,Breed,760,192320.20092740544,198802.86667517913,188817.9891622712,146163352.70482814,151090178.67313614,143501671.7633261,,,,4208686.294230067,4555438.378567252,3851860.3610761287,3198601583.614851,3462133167.7111115,2927413874.4178576,575000.0,437000000.0,4016366.0933026616,0.045696017113717506,0.04364077617875831,0.04901994658745091,3052438230.9100227
Worse,Nurse,483,583624.7694883592,583624.7694883592,583624.7694883592,281890763.6628775,281890763.6628775,281890763.6628775,,,,693423.4052223827,726209.5738397071,660206.6161807745,334923504.72241086,350759224.1645785,318879795.61531407,147043.7830779944,71022147.2266713,109798.63573402353,0.8416571536133672,0.8036588754986314,0.8840032123043039,53032741.05953336
Worse,Fat,1116,0.0,0.0,0.0,0.0,0.0,0.0,,,,1076592.5643644766,1158450.4740427942,996180.4778912142,1201477301.830756,1292830729.0317583,1111737413.326595,49813.12196973957,55591444.11822936,1076592.5643644766,0.0,0.0,0.0,1201477301.830756
Worse,Total,2359,,,,428054116.36770564,432980942.3360137,425392435.4262036,191639979.42879176,244031566.42777866,428054116.36770564,,,,4735002390.168017,5105723120.907448,4358031083.359767,,563613591.3449006,,0.09040209087466089,0.08480305964163981,0.0976111522128596,4306948273.800312
Best,Breed,760,4274.340069515415,4496.791628375147,4154.126955386321,3248498.4528317153,3417561.637565112,3157136.486093604,,,,4208686.294230067,4555438.378567252,3851860.3610761287,3198601583.614851,3462133167.7111115,2927413874.4178576,575000.0,437000000.0,4204411.954160552,0.0010155995887304208,0.0009871259919861874,0.0010784728847817696,3195353085.1620193
Best,Nurse,483,21188.265814796578,21188.265814796578,21188.265814796578,10233932.388546746,10233932.388546746,10233932.388546746,,,,693423.4052223827,726209.5738397071,660206.6161807745,334923504.72241086,350759224.1645785,318879795.61531407,147043.7830779944,71022147.2266713,672235.1394075862,0.030556029195468883,0.02917651677706106,0.03209338606354546,324689572.3338641
Best,Fat,1116,0.0,0.0,0.0,0.0,0.0,0.0,,,,1076592.5643644766,1158450.4740427942,996180.4778912142,1201477301.830756,1292830729.0317583,1111737413.326595,49813.12196973957,55591444.11822936,1076592.5643644766,0.0,0.0,0.0,1201477301.830756
Best,Total,2359,,,,13482430.841378462,13651494.026111858,13391068.87464035,,,,,,,4735002390.168017,5105723120.907448,4358031083.359767,,563613591.3449006,,0.0028473968396244146,0.002673763089543633,0.0030727336768595695,4721519959.326639
